bigram,bigram_frequency
تصویر کا,2
کے ہو,2
ظرف ہے,2
کی یارب,2
کی یاد,2
ظاہر ہے,2
کے ہمیں,2
تیر نیم,2
بے بنیاد,2
کیا تو,2
تیغ ہلال,2
کے کٹنے,2
صبحِ بہارِ,2
شگاف تیری,2
صد دل,2
بے حجاب,2
تیغ یار,2
کے پیتے,2
کے پڑے,2
نکل کے,2
کیا تھا,2
گل بنا,2
سے گر,2
تمہاری تہذیب,2
بے حضور,2
تہذیب اپنے,2
نہیں بیٹھے,2
عاشق تو,2
کے کہنے,2
گل میں,2
گوہر نہیں,2
تمنا سے,2
ظلمت شب,2
ظن رہ,2
شاخ نازک,2
تیغ قاتل,2
کیا بات,2
کیا برا,2
صبح کرنا,2
نے مانا,2
تیرا امام,2
طرح عیش,2
کے گھر,2
تمنا مجھ,2
نہ آئے,2
کے گریباں,2
نکلا اے,2
کے کیا,2
گر آئیں,2
تیری اک,2
کی نظریں,2
تیرے آئے,2
تیری نماز,2
کی گلی,2
شام سے,2
سے ہوں,2
گناہ ہے,2
کی کرتا,2
سے ہر,2
نہ ہوگا,2
تم سمجھ,2
گلی میں,2
تغافل کو,2
تم سے,2
نکلوں گا,2
نہاں سے,2
سے گھبرائیں,2
بیش نہیں,2
شیر پھر,2
طلب گار,2
صحرائیوں سے,2
گر جدا,2
تلک ناخن,2
گوش منتظر,2
بیخوابی سے,2
تقریر کا,2
نہ کیا,2
گا قافلہ,2
تقدیر کی,2
نہ گھر,2
گا جس,2
تقویٰ نہ,2
کی کہ,2
گا اپنے,2
گا ناپائیدار,2
صحرا سے,2
سے ہوا,2
سے ہوتا,2
نہ ہوئے,2
سے ہوتی,2
نکلے ہوئی,2
ترے وعدے,2
بیخودی جلوہٴ,2
نے نقش,2
طلب عرضِ,2
کی گھڑی,2
طوفاں تھا,2
نگاہ تو,2
صبا کو,2
صبا ہے,2
تیز رو,2
کی کہیں,2
نہ کبھی,2
نہیں آستاں,2
بیاباں ماندگی,2
کی یا,2
شہرِ آرزو,2
گل کو,2
نہ پاؤں,2
گاہِ خیالِ,2
گل واں,2
ترے خیال,2
صبح بہار,2
گل نے,2
تشنہ کامی,2
نہیں آگ,2
نہ چیخوں,2
شہہ نشاں,2
بیاباں نکلا,2
سے یوں,2
صحرا جل,2
کی پابندی,2
بیٹهے ہیں,2
بیٹھا ستم,2
نہ ملے,2
تیری ضرب,2
صحن گلشن,2
گلستاں ہے,2
نہ کرے,2
کی وہ,2
تیرے گھر,2
تسلیم و,2
گلبانگِ تسلی,2
گر نظر,2
طَعمہ ہوں,2
صحبتِ احباب,2
نگہ نایاب,2
صبا سے,2
سے یاں,2
تلک ہم,2
تھی جس,2
شام فراق,2
کیوں حسن,2
نیازی حد,2
گزر کوہ,2
گزر میں,2
نہیں مجھ,2
تو مجھے,2
تا کے,2
شمع غم,2
نہیں مگر,2
شرار ہوتا,2
شرار ہوگا,2
کیوں جب,2
گزر مصر,2
تو مٹ,2
گزر جس,2
تا عرش,2
نیا خار,2
کیوں دشنۂ,2
تک نہ,2
کیوں دیر,2
کے تلے,2
نہیں میں,2
نہ سنگ,2
شرق و,2
کیوں روئیں,2
گزر تیرا,2
تک سوختن,2
کیوں غالبؔ,2
شرم اپنے,2
تکمیل غم,2
تو غنچے,2
تو سن,2
نیمروز آپ,2
نے آئينہ,2
تھا دیوار,2
گزری بندہ,2
تو سکتا,2
کیجیے ہائے,2
تھا خواب,2
کے دست,2
نہ جائے,2
نہ جاتے,2
ضعف نے,2
تھا جلوہٴ,2
تھا جل,2
شبِ مہ,2
شمعِ کشتہ,2
تگ و,2
گزر گرچہ,2
نہ سہی,2
گزر گاہِ,2
نہ سکے,2
نہ سکی,2
کیسے بتاؤں,2
شمعِ بزمِ,2
گزر گئے,2
تھا آئینہ,2
کے خواب,2
شمع ہوں,2
نیام سے,2
تو غم,2
شرم تم,2
کے بھرنے,2
نہیں ہیں,2
نہ دلی,2
کے باب,2
شعلہ بار,2
صورت نظر,2
تو کر,2
گرچہ ہے,2
تو کس,2
نہیں کم,2
توف کی,2
کے آزاد,2
ضبطِ آہ,2
شعلہٴ جوّالہ,2
تو یہاں,2
نہیں پڑتی,2
تاراجِ کاوشِ,2
گزر بادہ,2
گریباں چاک,2
نہیں پہنائے,2
نہ دیں,2
تو یقین,2
کے امتحاں,2
کے افکار,2
تو کہیں,2
تارِ نگہ,2
صوفی نے,2
تو ہیں,2
تب و,2
گرہِ نیم,2
گری سے,2
شمار ہوگا,2
شمشیر سے,2
کیوں ہیں,2
تو پیر,2
گزر ایسے,2
تک باقی,2
تذکرہ جو,2
کیوں واں,2
نہ سمجھ,2
شرمندہٴ معنی,2
گرمی کہاں,2
تحفہ الماس,2
تو وہ,2
تحریر کا,2
نہ رہے,2
شش جہت,2
کے بندوں,2
تجھے ہم,2
ضرور ہے,2
ضرب تجھ,2
کے بغیر,2
تپاک اہل,2
تجھے کیا,2
گزار بیٹھا,2
کیوں ہاں,2
گریے نے,2
شمشیر کا,2
تجھے مثال,2
توڑ سکتا,2
گریے سے,2
تجھ سا,2
تھا روشن,2
نہیں غالبؔ,2
شام کا,2
کے ملک,2
نہیں جانتے,2
تھی ہماری,2
تھی چمن,2
کے نام,2
نہیں جو,2
کیا فائدہ,2
نہیں حرم,2
کیا مجال,2
تنگیٴ دل,2
تھی حال,2
شکار کر,2
کیا مرا,2
شکار تھا,2
تنہائی نہ,2
تھی یہ,2
کیا ناصح,2
تنہائی کا,2
بے ربطیِ,2
بے رنگ,2
تھمتا جسے,2
نہیں خدا,2
نے بار,2
نے بادہ,2
نہیں در,2
طبعِ آرزو,2
تو ابھی,2
گرداب تھا,2
ترجمہ فیض,2
کے نشیمن,2
کیا سر,2
تھا سنا,2
نے سب,2
بے حِس,2
کیا حضرتِ,2
کیا خانہ,2
کیا خاک,2
گر کیا,2
تھے پینے,2
تن آساں,2
نہ آیا,2
تھے وہ,2
تری نازکی,2
نے سخن,2
تری مِژہ,2
نہیں تجھ,2
نہ لگے,2
کیا زخم,2
صدا پر,2
شکستہ صبحِ,2
نے روما,2
کے وہ,2
بے خودی,2
کیا دیکھنے,2
بے دل,2
کیا دیکھیں,2
کے نہ,2
کیا رنگ,2
کے نکلوں,2
نہ اچھا,2
تھے تو,2
تھا یا,2
تھا ہر,2
طالعِ لعل,2
نہ تھمتا,2
تو خود,2
گزرے ہے,2
نہیں سکتے,2
تھا موتی,2
کے سامنے,2
کے رہنے,2
شب کو,2
تھا مرنا,2
تھا محرم,2
تھا مجھے,2
کے رات,2
